一	いち
一本化	いっぽんか
一本取る	いっぽんとる
一本建て	いっぽんだて
一本建て為替	いっぽんだてかわせ
一本建て税率	いっぽんだてぜいりつ
一本建税率	いっぽんだてぜいりつ
一本杉	いっぽんすぎ
一本松	いっぽんまつ
一本槍	いっぽんやり
一本橋	いっぽんばし
一本気	いっぽんぎ
一本立ち	いっぽんだち
一本背負い	いっぽんぜおい
一本調子	いっぽんぢょうし
一本道	いっぽんみち
一本釣	いっぽんづり
一本釣り	いっぽんづり
一札	いっさつ
一札入れる	いっさついれる
一朱銀	いっしゅぎん
一朶	いちだ
一束	いっそく
一条	いちじょう
一条の煙	いちじょうのけむり
一杯	いっぱい
一杯一杯	いっぱいいっぱい
一杯機嫌	いっぱいきげん
一杯食う	いっぱいくう
一杯食わされる	いっぱいくわされる
一杯食わす	いっぱいくわす
一杯飲み屋	いっぱいのみや
一杯飲屋	いっぱいのみや
一枚	ひとひら
一枚上	いちまいうえ
一枚上手	いちまいうわて
一枚下	いちまいした
一枚噛む	いちまいかむ
一枚岩	いちまいいわ
一枚看板	いちまいかんばん
一枚貝	いちまいがい
一校	いっこう
一桁	ひとけた
一案	いちあん
一棟	ひとむね
一極集中	いっきょくしゅうちゅう
一概に	いちがいに
一様	いちよう
一槽式	いっそうしき
一樹	いちじゅ
一機	いっき
一機軸	いちきじく
一欠けら	ひとかけら
一欠片	ひとかけら
一次	いちじ
一次エネルギー	いちじエネルギー
一次コイル	いちじコイル
一次元	いちじげん
一次冷却水	いちじれいきゃくすい
一次変換	いちじへんかん
一次宇宙線	いちじうちゅうせん
一次式	いちじしき
一次方程式	いちじほうていしき
一次消費者	いちじしょうひしゃ
一次産品	いちじさんぴん
一次産業	いちじさんぎょう
一次線輪	いちじせんりん
一次記憶	いちじきおく
一次試験	いちじしけん
一次遷移	いちじせんい
一次関数	いちじかんすう
一次電池	いちじでんち
一次電流	いちじでんりゅう
一歩	いっぽ
一歩ずつ	いっぽずつ
一歩も引かない	いっぽもひかない
一歩一歩	いっぽいっぽ
一歩下がる	いっぽさがる
一歩前進	いっぽぜんしん
一歩退く	いっぽしりぞく
一歩金	いちぶきん
一歩銀	いちぶぎん
